# seq	source_rank	word_id	headword	cefr	primary_sense_id	primary_pos
155	2137	2137	prediction	B1	58451	noun
156	2138	2138	prepared	B1	58449	adj
157	2139	2139	presentation	B1	58453	noun
158	2140	2140	press	B1	58475	noun
159	2141	2141	pressure	B1	58504	noun
160	2142	2142	pretend	B1	58513	verb
161	2143	2143	previous	B1	58467	adj
162	2144	2144	previously	B1	58472	adv
163	2145	2145	priest	B1	58522	noun
164	2146	2146	primary	B1	58526	adj
165	2147	2147	prince	B1	58561	noun
166	2148	2148	princess	B1	58550	noun
167	2149	2149	printing	B1	58545	noun
168	2150	2150	prisoner	B1	58592	noun
169	2151	2151	private	B1	58572	adj
170	2152	2152	producer	B1	58595	noun
171	2153	2153	production	B1	58608	noun
172	2155	2155	profit	B1	58631	noun
173	2156	2156	promote	B1	58600	verb
174	2157	2157	proper	B1	58637	adj
175	2158	2158	properly	B1	58621	adv
176	2159	2159	property	B1	58684	noun
177	2160	2160	protest	B1	58673	verb
178	2161	2161	proud	B1	58664	adj
179	2162	2162	prove	B1	58701	verb
180	2163	2163	punish	B1	58697	verb
181	2164	2164	punishment	B1	58712	noun
182	2165	2165	qualification	B1	58716	noun
183	2166	2166	qualified	B1	58721	adj
184	2167	2167	qualify	B1	58724	verb
185	2168	2168	queue	B1	58740	noun
186	2169	2169	quit	B1	58750	adj
187	2170	2170	quotation	B1	58735	noun
188	2171	2171	quote	B1	58766	noun
189	2172	2172	racing	B1	58764	noun
190	2173	2173	range	B1	58808	noun
191	2174	2174	rare	B1	58783	adj
192	2175	2175	rarely	B1	58775	adv
193	2176	2176	reaction	B1	58778	noun
194	2177	2177	reality	B1	58798	noun
195	2178	2178	receipt	B1	58844	noun
196	2179	2179	recommendation	B1	58793	noun
197	2180	2180	reference	B1	58865	noun
198	2181	2181	reflect	B1	58881	verb
199	2182	2182	regularly	B1	58806	adv
200	2183	2183	reject	B1	58858	verb
201	2184	2184	relate	B1	58888	verb
202	2185	2185	related	B1	58896	adj
203	2186	2186	relation	B1	58906	noun
204	2187	2187	relative	B1	58922	adj
205	2188	2188	relaxed	B1	58916	adj
206	2189	2189	relaxing	B1	58903	adj
207	2190	2190	release	B1	58940	noun
208	2191	2191	reliable	B1	58932	adj
209	2192	2192	religion	B1	58976	noun
210	2193	2193	religious	B1	58935	adj
211	2194	2194	remain	B1	58989	noun
212	2195	2195	remind	B1	58985	verb
213	2196	2196	remote	B1	58967	adj
214	2197	2197	rent	B1	58998	noun
215	2198	2198	repeated	B1	58987	verb
216	2199	2199	represent	B1	59012	verb
217	2200	2200	require	B1	59028	verb
218	2201	2201	reservation	B1	59032	noun
219	2202	2202	resource	B1	59042	noun
220	2203	2203	respect	B1	59088	noun
221	2204	2204	responsibility	B1	59048	noun
222	2205	2205	responsible	B1	59079	adj
223	2206	2206	retire	B1	59063	verb
224	2207	2207	retired	B1	59053	adj
225	2208	2208	revise	B1	59058	verb
226	2209	2209	risk	B1	59100	noun
227	2210	2210	robot	B1	59112	noun
228	2211	2211	roll	B1	59188	verb
229	2212	2212	romantic	B1	59145	adj
230	2213	2213	rope	B1	59121	noun
231	2214	2214	rough	B1	59154	adj
232	2215	2215	row	B1	59275	noun
233	2216	2216	royal	B1	59256	adj
234	2217	2217	rugby	B1	59183	noun
235	2218	2218	safety	B1	59287	noun
236	2219	2219	sailor	B1	59297	noun
237	2220	2220	sample	B1	59303	noun
238	2221	2221	sand	B1	59369	noun
239	2222	2222	scan	B1	59317	verb
240	2223	2223	scientific	B1	59313	adj
241	2224	2224	script	B1	59356	noun
242	2225	2225	sculpture	B1	59385	noun
243	2226	2226	secondary	B1	59332	adj
244	2227	2227	security	B1	59393	noun
245	2228	2228	seed	B1	59418	noun
246	2229	2229	sensible	B1	59403	adj
247	2230	2230	seriously	B1	59413	adv
248	2231	2231	servant	B1	59448	noun
249	2233	2233	setting	B1	59454	noun
250	2234	2234	sex	B1	59488	noun
251	2235	2235	sexual	B1	59466	adj
252	2236	2236	sharp	B1	59658	adj
253	2237	2237	shelf	B1	59475	noun
254	2238	2238	shell	B1	59707	noun
255	2239	2239	shift	B1	59597	noun
256	2241	2241	shiny	B1	59481	adj
257	2242	2242	shoot	B1	59790	verb
258	2243	2243	shy	B1	59757	adj
259	2244	2244	sight	B1	59774	noun
260	2245	2245	signal	B1	59852	noun
261	2246	2246	silent	B1	59866	adj
262	2247	2247	silly	B1	59880	adj
263	2248	2248	similarity	B1	59848	noun
264	2249	2249	similarly	B1	59788	adv
265	2250	2250	simply	B1	59905	adv
266	2251	2251	sink	B1	59939	verb
267	2252	2252	slice	B1	59913	noun
268	2253	2253	slightly	B1	59911	adv
269	2254	2254	smart	B1	59974	verb
270	2255	2255	smooth	B1	60008	adj
271	2256	2256	software	B1	59998	noun
272	2257	2257	soil	B1	60073	noun
273	2258	2258	solid	B1	60035	adj
274	2259	2259	southern	B1	60002	adj
275	2260	2260	specifically	B1	60006	adv
276	2261	2261	spending	B1	59995	noun
277	2263	2263	spirit	B1	60091	noun
278	2264	2264	spoken	B1	60069	adj
279	2265	2265	spot	B1	60114	noun
280	2266	2266	spread	B1	60177	verb
281	2267	2267	stadium	B1	60108	noun
282	2268	2268	staff	B1	60163	noun
283	2269	2269	standard	B1	60239	adj
284	2270	2270	statistic	B1	60156	adj
285	2271	2271	statue	B1	60214	noun
286	2273	2273	stranger	B1	60217	adj
287	2274	2274	strength	B1	60231	noun
288	2275	2275	string	B1	60272	noun
289	2276	2276	strongly	B1	60228	adv
290	2277	2277	studio	B1	60419	noun
291	2278	2278	stuff	B1	60430	noun
292	2279	2279	substance	B1	60460	noun
293	2280	2280	successfully	B1	60424	adv
294	2281	2281	sudden	B1	60425	adj
295	2282	2282	suffer	B1	60475	verb
296	2283	2283	suitable	B1	60470	adj
297	2284	2284	summarize	B1	60468	verb
298	2285	2285	summary	B1	60471	adj
299	2286	2286	supply	B1	60489	verb
300	2287	2287	supporter	B1	60480	noun
301	2288	2288	surely	B1	60503	adv
302	2289	2289	surface	B1	60506	noun
303	2290	2290	survive	B1	60520	verb
304	2291	2291	switch	B1	60529	noun
305	2292	2292	symptom	B1	60526	noun
306	2293	2293	tail	B1	60605	noun
307	2294	2294	talent	B1	60560	noun
308	2295	2295	talented	B1	60528	adj
309	2296	2296	tape	B1	60565	noun
310	2297	2297	tax	B1	60597	noun
311	2298	2298	technical	B1	60579	adj
312	2299	2299	technique	B1	60594	noun
313	2300	2300	tend	B1	60643	verb
314	2301	2301	tent	B1	60655	noun
315	2302	2302	theirs	B1	60653	pron
316	2303	2303	theme	B1	60671	noun
317	2304	2304	theory	B1	60686	noun
318	2305	2305	therefore	B1	60699	adv
319	2306	2306	though	B1	60704	adv
320	2307	2307	throat	B1	60709	noun
321	2308	2308	throughout	B1	60694	prep
322	2309	2309	tight	B1	60722	adj
323	2310	2310	till	B1	60751	prep
324	2311	2311	tin	B1	60769	noun
325	2312	2312	tiny	B1	60701	adj
326	2313	2313	toe	B1	60784	noun
327	2314	2314	tongue	B1	60806	noun
328	2315	2315	total	B1	60840	noun
329	2316	2316	totally	B1	60803	adv
330	2317	2317	trade	B1	60910	noun
